,Actor,Unnamed: 1,Born,Died,Age,Nomina-tions,Wins,Lead and sup-porting details,First winning film role or first nomination(also see list of all nominated roles),Firstyear,Lastyear
237,Catherine Deneuve,F,1943,~,78,1,0,L,Indochine,1992,1992
238,Sandy Dennis,F,1937,1992,54,1,1,S,Who's Afraid of Virginia Woolf?,1966,1966
239,Gérard Depardieu,M,1948,~,73,1,0,L,Cyrano de Bergerac,1990,1990
240,Johnny Depp,M,1963,~,59,3,0,L,Pirates of the Caribbean,2003,2007
241,Bruce Dern,M,1936,~,86,2,0,1L:1S,Nebraska,1978,2013
242,Laura Dern,F,1967,~,55,3,1,1L:2S1,Marriage Story,1991,2019
243,Brandon deWilde,M,1942,1972,30,1,0,S,Shane,1953,1953
244,Leonardo DiCaprio,M,1974,~,47,6,1,5L1:1S0,"Revenant, The (2015)",1993,2019
245,Marlene Dietrich,F,1901,1992,90,1,0,L,Morocco,1930,1930
246,Matt Dillon,M,1964,~,58,1,0,S,Crash,2005,2005
247,Melinda Dillon,F,1939,~,83,2,0,S,Close Encounters of the Third Kind,1977,1981
248,Richard Dix,M,1893,1949,56,1,0,L,Cimarron,1931,1931
249,Robert Donat,M,1905,1958,53,2,1,L,"Goodbye, Mr. Chips",1938,1939
250,Brian Donlevy,M,1901,1972,71,1,0,S,Beau Geste,1939,1939
251,Kirk Douglas,M,1916,2020,103,3,0,L,Champion,1949,1956
252,Melvyn Douglas,M,1901,1981,80,3,2,1L0:2S2,Hud [w 12],1963,1979
253,Michael Douglas,M,1944,~,78,1,1,L,Wall Street,1987,1987
254,Brad Dourif,M,1950,~,72,1,0,S,One Flew Over the Cuckoo's Nest,1975,1975
255,Robert Downey Jr.,M,1965,~,57,2,0,1L:1S,Chaplin,1992,2008
256,Louise Dresser,F,1878,1965,85,1,0,L,"Ship Comes In, A",1928,1928
257,Marie Dressler,F,1868,1934,65,2,1,L,Min and Bill,1930,1932
258,Richard Dreyfuss,M,1947,~,74,2,1,L,"Goodbye Girl, The",1977,1995
259,Adam Driver,M,1983,~,38,2,0,1L:1S,Marriage Story,2018,2019
260,Minnie Driver,F,1970,~,52,1,0,S,Good Will Hunting,1997,1997
261,Jean Dujardin,M,1972,~,50,1,1,L,"Artist, The",2011,2011
262,Olympia Dukakis,F,1931,2021,89,1,1,S,Moonstruck,1987,1987
263,Patty Duke,F,1946,2016,69,1,1,S,"Miracle Worker, The",1962,1962
264,Faye Dunaway,F,1941,~,81,3,1,L,Network,1967,1976
265,Michael Clarke Duncan,M,1957,2012,54,1,0,S,"Green Mile, The",1999,1999
266,James Dunn,M,1901,1967,65,1,1,S,"Tree Grows in Brooklyn, A",1945,1945
267,Michael Dunn,M,1934,1973,38,1,0,S,Ship of Fools,1965,1965
268,Irene Dunne,F,1898,1990,91,5,0,L,Cimarron,1931,1948
269,Mildred Dunnock,F,1901,1991,90,2,0,S,Death of a Salesman,1951,1956
270,Kirsten Dunst,F,1982,~,40,1,0,S,The Power of the Dog,2021,2021
271,Charles Durning,M,1923,2012,89,2,0,S,"Best Little Whorehouse in Texas, The",1982,1983
272,Robert Duvall,M,1931,~,91,7,1,3L1:4S0,Tender Mercies (1983),1972,2014
273,Jeanne Eagels,F,1890,1929,39,1,0,L,"Letter, The",1929,1929
274,Clint Eastwood,M,1930,~,92,2,0,L,Unforgiven,1992,2004
275,Samantha Eggar,F,1939,~,83,1,0,L,"Collector, The",1965,1965
276,Jesse Eisenberg,M,1983,~,39,1,0,L,"Social Network, The",2010,2010
277,Chiwetel Ejiofor,M,1977,~,45,1,0,L,12 Years a Slave,2013,2013
278,Denholm Elliott,M,1922,1992,70,1,0,S,"Room with a View, A",1986,1986
279,Sam Elliott,M,1944,~,78,1,0,S,"Star Is Born, A",2018,2018
280,Aunjanue Ellis,F,1969,~,53,1,0,S,King Richard,2021,2021
281,Hope Emerson,F,1897,1960,62,1,0,S,Caged,1950,1950
282,Cynthia Erivo,F,1987,~,35,1,0,L,Harriet,2019,2019
283,Stuart Erwin,M,1903,1967,64,1,0,S,Pigskin Parade,1936,1936
284,Edith Evans,F,1888,1976,88,3,0,1L:2S,"Whisperers, The",1963,1967
285,Peter Falk,M,1927,2011,83,2,0,S,"Murder, Inc.",1960,1961
286,Vera Farmiga,F,1973,~,49,1,0,S,Up in the Air,2009,2009
287,Richard Farnsworth,M,1920,2000,80,2,0,1L:1S,"Straight Story, The",1978,1999
288,Michael Fassbender,M,1977,~,45,2,0,1L:1S,Steve Jobs,2013,2015
289,José Ferrer,M,1912,1992,80,3,1,2L1:1S0,Cyrano de Bergerac (1950),1948,1952
290,Sally Field,F,1946,~,75,3,2,2L2:1S0,Norma Rae [w 13],1979,2012
291,Ralph Fiennes,M,1962,~,59,2,0,1L:1S,"English Patient, The",1993,1996
292,Peter Finch,M,1916,1977,60,2,1,L,Network,1971,1976
293,Frank Finlay,M,1926,2016,89,1,0,S,Othello,1965,1965
294,Albert Finney,M,1936,2019,82,5,0,4L:1S,Tom Jones,1963,2000
295,Colin Firth,M,1960,~,62,2,1,L,"King's Speech, The",2009,2010
296,Peter Firth,M,1953,~,68,1,0,S,Equus,1977,1977
297,Laurence Fishburne,M,1961,~,61,1,0,L,What's Love Got to Do with It,1993,1993
298,Barry Fitzgerald,M,1888,1961,72,2,1,1L0:1S1,Going My Way [n 3],1944,1944
299,Geraldine Fitzgerald,F,1913,2005,91,1,0,S,Wuthering Heights,1939,1939
300,Louise Fletcher,F,1934,2022,88,1,1,L,One Flew Over the Cuckoo's Nest,1975,1975
301,Nina Foch,F,1924,2008,84,1,0,S,Executive Suite,1954,1954
302,Henry Fonda,M,1905,1982,77,2,1,L,On Golden Pond,1940,1981
303,Jane Fonda,F,1937,~,84,7,2,6L2:1S0,Klute (1971) [w 14],1969,1986
304,Peter Fonda,M,1940,2019,79,1,0,L,Ulee's Gold,1997,1997
305,Joan Fontaine,F,1917,2013,96,3,1,L,Suspicion (1941),1940,1943
306,Lynn Fontanne,F,1887,1983,95,1,0,L,"Guardsman, The",1931,1931
307,Harrison Ford,M,1942,~,80,1,0,L,Witness,1985,1985
308,Frederic Forrest,M,1936,~,85,1,0,S,"Rose, The",1979,1979
309,Robert Forster,M,1941,2019,78,1,0,S,Jackie Brown,1997,1997
310,Jodie Foster,F,1962,~,59,4,2,3L2:1S0,"Accused, The (1988) [w 15]",1976,1994
311,Jamie Foxx,M,1967,~,54,2,1,1L1:1S0,Ray [n 4],2004,2004
312,Anthony Franciosa,M,1928,2006,77,1,0,L,"Hatful of Rain, A",1957,1957
313,James Franco,M,1978,~,44,1,0,L,127 Hours,2010,2010
314,Morgan Freeman,M,1937,~,85,5,1,3L0:2S1,Million Dollar Baby (2004),1987,2009
315,Leonard Frey,M,1938,1988,49,1,0,S,Fiddler on the Roof,1971,1971
316,Brenda Fricker,F,1945,~,77,1,1,S,My Left Foot,1989,1989
317,Clark Gable,M,1901,1960,59,3,1,L,It Happened One Night,1934,1939
318,Lady Gaga,F,1986,~,36,1,0,L,"Star Is Born, A",2018,2018
319,Greta Garbo,F,1905,1990,84,3,0,L,Anna Christie,1930,1939
320,Andy García,M,1956,~,66,1,0,S,"Godfather Part III, The",1990,1990
321,Vincent Gardenia,M,1920,1992,72,2,0,S,Bang the Drum Slowly,1973,1987
322,Ava Gardner,F,1922,1990,67,1,0,L,Mogambo,1953,1953
323,Andrew Garfield,M,1983,~,39,2,0,L,Hacksaw Ridge,2016,2021
324,John Garfield,M,1913,1952,39,2,0,1L:1S,Body and Soul,1938,1947
325,William Gargan,M,1905,1979,73,1,0,S,They Knew What They Wanted,1940,1940
326,Judy Garland,F,1922,1969,47,2,0,1L:1S,"Star Is Born, A",1954,1961
327,James Garner,M,1928,2014,86,1,0,L,Murphy's Romance,1985,1985
328,Teri Garr,F,1944 *,~,77,1,0,S,Tootsie,1982,1982
329,Greer Garson,F,1904,1996,91,7,1,L,Mrs. Miniver (1942),1939,1960
330,Janet Gaynor,F,1906,1984,77,2,1,L,7th Heaven,1927,1937
331,Michael V. Gazzo,M,1923,1995,71,1,0,S,"Godfather Part II, The",1974,1974
332,Leo Genn,M,1905,1978,72,1,0,S,Quo Vadis,1951,1951
333,Chief Dan George,M,1899,1981,82,1,0,S,Little Big Man,1970,1970
334,Gladys George,F,1904,1954,50,1,0,L,Valiant Is the Word for Carrie,1936,1936
335,Paul Giamatti,M,1967,~,55,1,0,S,Cinderella Man,2005,2005
336,Giancarlo Giannini,M,1942,~,80,1,0,L,Seven Beauties,1976,1976
337,John Gielgud,M,1904,2000,96,2,1,S,Arthur,1964,1981
338,Jack Gilford,M,1907,1990,82,1,0,S,Save the Tiger,1973,1973
339,Lillian Gish,F,1893,1993,99,1,0,S,Duel in the Sun,1946,1946
340,Jackie Gleason,M,1916,1987,71,1,0,S,"Hustler, The",1961,1961
341,James Gleason,M,1882,1959,76,1,0,S,Here Comes Mr. Jordan,1941,1941
342,Paulette Goddard,F,1910,1990,79,1,0,S,So Proudly We Hail!,1943,1943
343,Whoopi Goldberg,F,1955,~,66,2,1,1L0:1S1,Ghost,1985,1990
344,Thomas Gomez,M,1905,1971,65,1,0,S,Ride the Pink Horse,1947,1947
345,Cuba Gooding Jr.,M,1968,~,54,1,1,S,Jerry Maguire,1996,1996
346,Dexter Gordon,M,1923,1990,67,1,0,L,Round Midnight,1986,1986
347,Ruth Gordon,F,1896,1985,88,2,1,S,Rosemary's Baby,1965,1968
348,Ryan Gosling,M,1980,~,41,2,0,L,Half Nelson,2006,2016
349,Louis Gossett Jr.,M,1936,~,86,1,1,S,"Officer and a Gentleman, An",1982,1982
350,Elliott Gould,M,1938,~,84,1,0,S,Bob & Carol & Ted & Alice,1969,1969
351,Gloria Grahame,F,1923,1981,57,2,1,S,"Bad and the Beautiful, The",1947,1952
352,Cary Grant,M,1904,1986,82,2,0,L,Penny Serenade,1941,1944
353,Lee Grant,F,1925 *,~,96,4,1,S,Shampoo (1975),1951,1976
354,Richard E. Grant,M,1957,~,65,1,0,S,Can You Ever Forgive Me?,2018,2018
355,Bonita Granville,F,1923,1988,65,1,0,S,These Three,1936,1936
356,Graham Greene,M,1952,~,70,1,0,S,Dances with Wolves,1990,1990
357,Sydney Greenstreet,M,1879,1954,74,1,0,S,"Maltese Falcon, The",1941,1941
358,Joel Grey,M,1932,~,90,1,1,S,Cabaret,1972,1972
359,Corinne Griffith,F,1894,1979,84,1,0,L,"Divine Lady, The",1929,1929
360,Hugh Griffith,M,1912,1980,67,2,1,S,Ben-Hur,1959,1963
361,Melanie Griffith,F,1957,~,65,1,0,L,Working Girl,1988,1988
362,Rachel Griffiths,F,1968,~,53,1,0,S,Hilary and Jackie,1998,1998
363,Alec Guinness,M,1914,2000,86,4,1,2L1:2S0,"Bridge on the River Kwai, The (1957)",1952,1988
364,Edmund Gwenn,M,1877,1959,81,2,1,S,Miracle on 34th Street,1947,1950
365,Jake Gyllenhaal,M,1980,~,41,1,0,S,Brokeback Mountain,2005,2005
366,Maggie Gyllenhaal,F,1977,~,44,1,0,S,Crazy Heart,2009,2009
367,Joan Hackett,F,1934,1983,49,1,0,S,Only When I Laugh,1981,1981
368,Gene Hackman,M,1930,~,92,5,2,2L1:3S1,"French Connection, The (1971) [w 16]",1967,1992
369,Jean Hagen,F,1923,1977,54,1,0,S,Singin' in the Rain,1952,1952
370,Jackie Earle Haley,M,1961,~,61,1,0,S,Little Children,2006,2006
371,Grayson Hall,F,1922,1985,62,1,0,S,"Night of the Iguana, The",1964,1964
372,Tom Hanks,M,1956,~,66,6,2,5L2:1S0,Philadelphia (1993) [w 17],1988,2019
373,Marcia Gay Harden,F,1959,~,63,2,1,S,Pollock,2000,2003
374,Ann Harding,F,1902,1981,79,1,0,L,Holiday,1930,1930
375,Tom Hardy,M,1977,~,45,1,0,S,"Revenant, The",2015,2015
376,Tess Harper,F,1950,~,72,1,0,S,Crimes of the Heart,1986,1986
377,Woody Harrelson,M,1961,~,61,3,0,1L:2S,"People vs. Larry Flynt, The",1996,2017
378,Barbara Harris,F,1935,2018,83,1,0,S,Who Is Harry Kellerman...?,1971,1971
379,Ed Harris,M,1950,~,71,4,0,1L:3S,Pollock (2000),1995,2002
380,Julie Harris,F,1925,2013,87,1,0,L,"Member of the Wedding, The",1952,1952
381,Naomie Harris,F,1976,~,46,1,0,S,Moonlight,2016,2016
382,Richard Harris,M,1930,2002,72,2,0,L,This Sporting Life,1963,1990
383,Rosemary Harris,F,1927,~,95,1,0,S,Tom & Viv,1994,1994
384,Rex Harrison,M,1908,1990,82,2,1,L,My Fair Lady,1963,1964
385,Elizabeth Hartman,F,1943,1987,43,1,0,L,"Patch of Blue, A",1965,1965
386,Laurence Harvey,M,1928,1973,45,1,0,L,Room at the Top,1959,1959
387,Anne Hathaway,F,1982,~,39,2,1,1L0:1S1,Les Misérables,2008,2012
388,Ethan Hawke,M,1970,~,51,2,0,S,Training Day,2001,2014
389,John Hawkes,M,1959,~,63,1,0,S,Winter's Bone,2010,2010
390,Sally Hawkins,F,1976,~,46,2,0,1L:1S,"Shape of Water, The",2013,2017
391,Goldie Hawn,F,1945,~,76,2,1,1L0:1S1,Cactus Flower,1969,1980
392,Nigel Hawthorne,M,1929,2001,72,1,0,L,"Madness of King George, The",1994,1994
393,Sessue Hayakawa,M,1889,1973,84,1,0,S,"Bridge on the River Kwai, The",1957,1957
394,Salma Hayek,F,1966,~,56,1,0,L,Frida,2002,2002
395,Helen Hayes,F,1900,1993,92,2,2,1L1:1S1,"Sin of Madelon Claudet, The [w 18]",1931,1970
396,Susan Hayward,F,1917,1975,57,5,1,L,I Want to Live!,1947,1958
397,Eileen Heckart,F,1919,2001,82,2,1,S,Butterflies Are Free,1956,1972
398,Lucas Hedges,M,1996,~,25,1,0,S,Manchester by the Sea,2016,2016
399,Van Heflin,M,1908,1971,62,1,1,S,Johnny Eager,1942,1942
400,Mariel Hemingway,F,1961,~,60,1,0,S,Manhattan,1979,1979
401,Justin Henry,M,1971,~,51,1,0,S,Kramer vs. Kramer,1979,1979
402,Taraji P. Henson,F,1970,~,52,1,0,S,"Curious Case of Benjamin Button, The",2008,2008
403,Audrey Hepburn,F,1929,1993,63,5,1,L,Roman Holiday,1953,1967
404,Katharine Hepburn,F,1907,2003,96,12,4,L,Morning Glory [w 19],1933,1981
405,Barbara Hershey,F,1948,~,74,1,0,S,"Portrait of a Lady, The",1996,1996
406,Charlton Heston,M,1923,2008,84,1,1,L,Ben-Hur,1959,1959
407,William Hickey,M,1927,1997,69,1,0,S,Prizzi's Honor,1985,1985
408,Jonah Hill,M,1983,~,38,2,0,S,Moneyball,2011,2013
409,Wendy Hiller,F,1912,2003,90,3,1,1L0:2S1,Separate Tables (1958),1938,1966
410,Ciarán Hinds,M,1953,~,69,1,0,S,Belfast,2021,2021
411,Judd Hirsch,M,1935,~,87,1,0,S,Ordinary People,1980,1980
412,Dustin Hoffman,M,1937,~,85,7,2,L,Kramer vs. Kramer (1979) [w 20],1967,1997
413,Philip Seymour Hoffman,M,1967,2014,46,4,1,1L1:3S0,Capote,2005,2012
414,Hal Holbrook,M,1925,2021,95,1,0,S,Into the Wild,2007,2007
415,William Holden,M,1918,1981,63,3,1,L,Stalag 17 (1953),1950,1976
416,Judy Holliday,F,1921,1965,43,1,1,L,Born Yesterday,1950,1950
417,Stanley Holloway,M,1890,1982,91,1,0,S,My Fair Lady,1964,1964
418,Celeste Holm,F,1917,2012,95,3,1,S,Gentleman's Agreement,1947,1950
419,Ian Holm,M,1931,2020,88,1,0,S,Chariots of Fire,1981,1981
420,Oskar Homolka,M,1898,1978,79,1,0,S,I Remember Mama,1948,1948
421,Anthony Hopkins,M,1937,~,84,6,2,4L2:2S0,"Silence of the Lambs, The",1991,2020
422,Miriam Hopkins,F,1902,1972,69,1,0,L,Becky Sharp,1935,1935
423,Dennis Hopper,M,1936,2010,74,1,0,S,Hoosiers,1986,1986
424,Bob Hoskins,M,1942,2014,71,1,0,L,Mona Lisa,1986,1986
425,Djimon Hounsou,M,1964,~,58,2,0,S,In America,2003,2006
426,John Houseman,M,1902,1988,86,1,1,S,"Paper Chase, The",1973,1973
427,Leslie Howard,M,1893,1943,50,2,0,L,Berkeley Square,1933,1938
428,Terrence Howard,M,1969,~,53,1,0,L,Hustle & Flow,2005,2005
429,Trevor Howard,M,1913,1988,74,1,0,L,Sons and Lovers,1960,1960
430,Jennifer Hudson,F,1981,~,41,1,1,S,Dreamgirls,2006,2006
431,Kate Hudson,F,1979,~,43,1,0,S,Almost Famous,2000,2000
432,Rock Hudson,M,1925,1985,59,1,0,L,Giant,1956,1956
433,Felicity Huffman,F,1962,~,59,1,0,L,Transamerica,2005,2005
434,Tom Hulce,M,1953,~,68,1,0,L,Amadeus,1984,1984
435,Josephine Hull,F,1877,1957,80,1,1,S,Harvey,1950,1950
436,Arthur Hunnicutt,M,1910,1979,69,1,0,S,"Big Sky, The",1952,1952
437,Helen Hunt,F,1963,~,59,2,1,1L1:1S0,As Good as It Gets,1997,2012
438,Linda Hunt,F,1945,~,77,1,1,S,"Year of Living Dangerously, The",1983,1983
439,Holly Hunter,F,1958,~,64,4,1,2L1:2S0,"Piano, The (1993) [n 5]",1987,2003
440,Kim Hunter,F,1922,2002,79,1,1,S,"Streetcar Named Desire, A",1951,1951
441,Isabelle Huppert,F,1953,~,69,1,0,L,Elle,2016,2016
442,John Hurt,M,1940,2017,77,2,0,1L:1S,"Elephant Man, The",1978,1980
443,William Hurt,M,1950,2022,71,4,1,3L1:1S0,Kiss of the Spider Woman,1985,2005
444,Ruth Hussey,F,1911,2005,93,1,0,S,"Philadelphia Story, The",1940,1940
445,Anjelica Huston,F,1951,~,71,3,1,1L0:2S1,Prizzi's Honor,1985,1990
446,John Huston,M,1906,1987,81,1,0,S,"Cardinal, The",1963,1963
447,Walter Huston,M,1883,1950,67,4,1,2L0:2S1,"Treasure of the Sierra Madre, The",1936,1948
448,Timothy Hutton,M,1960,~,62,1,1,S,Ordinary People,1980,1980
449,Martha Hyer,F,1924,2014,89,1,0,S,Some Came Running,1958,1958
450,John Ireland,M,1914,1992,78,1,0,S,All the King's Men,1949,1949
451,Jeremy Irons,M,1948,~,74,1,1,L,Reversal of Fortune,1990,1990
452,Amy Irving,F,1953,~,69,1,0,S,Yentl,1983,1983
453,Burl Ives,M,1909,1995,85,1,1,S,"Big Country, The",1958,1958
454,Hugh Jackman,M,1968,~,54,1,0,L,Les Misérables,2012,2012
455,Glenda Jackson,F,1936,~,86,4,2,L,Women in Love [w 21],1970,1975
456,Samuel L. Jackson,M,1948,~,73,1,0,S,Pulp Fiction,1994,1994
457,Richard Jaeckel,M,1926,1997,70,1,0,S,Sometimes a Great Notion,1971,1971
458,Sam Jaffe,M,1891,1984,93,1,0,S,"Asphalt Jungle, The",1950,1950
459,Dean Jagger,M,1903,1991,87,1,1,S,Twelve O'Clock High,1949,1949
460,Allison Janney,F,1959,~,62,1,1,S,"I, Tonya",2017,2017
461,Emil Jannings,M,1884,1950,65,1,1,L,"Way of All Flesh, The",1927,1927
462,Marianne Jean-Baptiste,F,1967,~,55,1,0,S,Secrets & Lies,1996,1996
463,Richard Jenkins,M,1947,~,75,2,0,1L:1S,"Visitor, The",2008,2017
464,Scarlett Johansson,F,1984,~,37,2,0,1L:1S,Marriage Story [n 6],2019,2019
465,Glynis Johns,F,1923,~,99,1,0,S,"Sundowners, The",1960,1960
466,Ben Johnson,M,1918,1996,77,1,1,S,"Last Picture Show, The",1971,1971
467,Celia Johnson,F,1908,1982,73,1,0,L,Brief Encounter,1946,1946
468,Angelina Jolie,F,1975,~,47,2,1,1L0:1S1,"Girl, Interrupted",1999,2008
469,Carolyn Jones,F,1930,1983,53,1,0,S,"Bachelor Party, The",1957,1957
470,Felicity Jones,F,1983,~,39,1,0,L,"Theory of Everything, The",2014,2014
471,James Earl Jones,M,1931,~,91,1,0,L,"Great White Hope, The",1970,1970
472,Jennifer Jones,F,1919,2009,90,5,1,4L1:1S0,"Song of Bernadette, The",1943,1955
473,Shirley Jones,F,1934,~,88,1,1,S,Elmer Gantry,1960,1960
474,Tommy Lee Jones,M,1946,~,76,4,1,1L0:3S1,"Fugitive, The (1993)",1991,2012
