,Actor,Unnamed: 1,Born,Died,Age,Nomina-tions,Wins,Lead and sup-porting details,First winning film role or first nomination(also see list of all nominated roles),Firstyear,Lastyear
475,Katy Jurado,F,1924,2002,78,1,0,S,Broken Lance,1954,1954
476,Madeline Kahn,F,1942,1999,57,2,0,S,Paper Moon,1973,1974
477,Daniel Kaluuya,M,1989,~,33,2,1,1L0:1S1,Judas and the Black Messiah,2017,2020
478,Ida Kamińska,F,1899,1980,80,1,0,L,"Shop on Main Street, The",1966,1966
479,Carol Kane,F,1952,~,70,1,0,L,Hester Street,1975,1975
480,Diane Keaton,F,1946,~,76,4,1,L,Annie Hall,1977,2003
481,Michael Keaton,M,1951,~,71,1,0,L,Birdman,2014,2014
482,Lila Kedrova,F,1909,2000,90,1,1,S,Zorba the Greek,1964,1964
483,Catherine Keener,F,1959,~,63,2,0,S,Being John Malkovich,1999,2005
484,Harvey Keitel,M,1939,~,83,1,0,S,Bugsy,1991,1991
485,Cecil Kellaway,M,1890,1973,82,2,0,S,"Luck of the Irish, The",1948,1967
486,Sally Kellerman,F,1937,2022,85,1,0,S,MASH,1970,1970
487,Gene Kelly,M,1912,1996,83,1,0,L,Anchors Aweigh,1945,1945
488,Grace Kelly,F,1929,1982,52,2,1,1L1:1S0,"Country Girl, The",1953,1954
489,Nancy Kelly,F,1921,1995,73,1,0,L,"Bad Seed, The",1956,1956
490,Anna Kendrick,F,1985,~,37,1,0,S,Up in the Air,2009,2009
491,Arthur Kennedy,M,1914,1990,75,5,0,1L:4S,Bright Victory (1951),1949,1958
492,George Kennedy,M,1925,2016,91,1,1,S,Cool Hand Luke,1967,1967
493,Deborah Kerr,F,1921,2007,86,6,0,L,"Edward, My Son",1949,1960
494,Nicole Kidman,F,1967,~,55,5,1,4L1:1S0,"Hours, The (2002)",2001,2021
495,Rinko Kikuchi,F,1981,~,41,1,0,S,Babel,2006,2006
496,Regina King,F,1971,~,51,1,1,S,If Beale Street Could Talk,2018,2018
497,Ben Kingsley,M,1943,~,78,4,1,2L1:2S0,Gandhi,1982,2003
498,Greg Kinnear,M,1963,~,59,1,0,S,As Good as It Gets,1997,1997
499,Vanessa Kirby,F,1988,~,34,1,0,L,Pieces of a Woman,2020,2020
500,Sally Kirkland,F,1941,~,80,1,0,L,Anna,1987,1987
501,Kevin Kline,M,1947,~,74,1,1,S,"Fish Called Wanda, A",1988,1988
502,Shirley Knight,F,1936,2020,83,2,0,S,"Dark at the Top of the Stairs, The",1960,1962
503,Keira Knightley,F,1985,~,37,2,0,1L:1S,Pride & Prejudice,2005,2014
504,Alexander Knox,M,1907,1995,88,1,0,L,Wilson,1944,1944
505,Susan Kohner,F,1936,~,85,1,0,S,Imitation of Life,1959,1959
506,Miliza Korjus,F,1909,1980,71,1,0,S,"Great Waltz, The",1938,1938
507,Troy Kotsur,M,1968,~,54,1,1,S,CODA,2021,2021
508,Jack Kruschen,M,1922,2002,80,1,0,S,"Apartment, The",1960,1960
509,Diane Ladd,F,1935,~,86,3,0,S,Alice Doesn't Live Here Anymore,1974,1991
510,Jocelyne LaGarde,F,1924,1979,55,1,0,S,Hawaii,1966,1966
511,Christine Lahti,F,1950,~,72,1,0,S,Swing Shift,1984,1984
512,Burt Lancaster,M,1913,1994,80,4,1,L,Elmer Gantry (1960),1953,1981
513,Elsa Lanchester,F,1902,1986,84,2,0,S,Come to the Stable,1949,1957
514,Martin Landau,M,1928,2017,89,3,1,S,Ed Wood,1988,1994
515,Diane Lane,F,1965,~,57,1,0,L,Unfaithful,2002,2002
516,Hope Lange,F,1933,2003,70,1,0,S,Peyton Place,1957,1957
517,Jessica Lange,F,1949,~,73,6,2,5L1:1S1,Blue Sky [n 7],1982,1994
518,Frank Langella,M,1938,~,84,1,0,L,Frost/Nixon,2008,2008
519,Angela Lansbury,F,1925,2022,96,3,0,S,Gaslight,1944,1962
520,Brie Larson,F,1989,~,33,1,1,L,Room,2015,2015
521,Queen Latifah,F,1970,~,52,1,0,S,Chicago,2002,2002
522,Charles Laughton,M,1899,1962,63,3,1,L,"Private Life of Henry VIII, The",1933,1957
523,Piper Laurie,F,1932,~,90,3,0,1L:2S,"Hustler, The",1961,1986
524,Jude Law,M,1972,~,49,2,0,1L:1S,Cold Mountain,1999,2003
525,Jennifer Lawrence,F,1990,~,32,4,1,3L1:1S0,Silver Linings Playbook (2012),2010,2015
526,Eva Le Gallienne,F,1899,1991,92,1,0,S,Resurrection,1980,1980
527,Cloris Leachman,F,1926,2021,94,1,1,S,"Last Picture Show, The",1971,1971
528,Heath Ledger,M,1979,2008,28,2,1,1L0:1S1,"Dark Knight, The",2005,2008
529,Peggy Lee,F,1920,2002,81,1,0,S,Pete Kelly's Blues,1955,1955
530,Andrea Leeds,F,1914,1984,69,1,0,S,Stage Door,1937,1937
531,Janet Leigh,F,1927,2004,77,1,0,S,Psycho,1960,1960
532,Jennifer Jason Leigh,F,1962,~,60,1,0,S,"Hateful Eight, The",2015,2015
533,Vivien Leigh,F,1913,1967,53,2,2,L,Gone with the Wind [w 22],1939,1951
534,Margaret Leighton,F,1922,1976,53,1,0,S,"Go-Between, The",1971,1971
535,Jack Lemmon,M,1925,2001,76,8,2,7L1:1S1,Save the Tiger (1973) [w 23],1955,1982
536,Lotte Lenya,F,1898,1981,83,1,0,S,"Roman Spring of Mrs. Stone, The",1961,1961
537,Melissa Leo,F,1960,~,62,2,1,1L0:1S1,"Fighter, The",2008,2010
538,Michael Lerner,M,1941,~,81,1,0,S,Barton Fink,1991,1991
539,Jared Leto,M,1971,~,50,1,1,S,Dallas Buyers Club,2013,2013
540,Juliette Lewis,F,1973,~,49,1,0,S,Cape Fear,1991,1991
541,Laura Linney,F,1964,~,58,3,0,2L:1S,You Can Count on Me,2000,2007
542,John Lithgow,M,1945,~,77,2,0,S,"World According to Garp, The",1982,1983
543,Sondra Locke,F,1944,2018,74,1,0,S,"Heart Is a Lonely Hunter, The",1968,1968
544,Gene Lockhart,M,1891,1957,65,1,0,S,Algiers,1938,1938
545,Robert Loggia,M,1930,2015,85,1,0,S,Jagged Edge,1985,1985
546,Carole Lombard,F,1908,1942,33,1,0,L,My Man Godfrey,1936,1936
547,Sophia Loren,F,1934,~,88,2,1,L,Two Women,1961,1964
548,Joan Lorring,F,1926,2014,88,1,0,S,"Corn Is Green, The",1945,1945
549,Bessie Love,F,1898,1986,87,1,0,L,"Broadway Melody, The",1929,1929
550,Paul Lukas,M,1891,1971,80,1,1,L,Watch on the Rhine,1943,1943
551,Alfred Lunt,M,1892,1977,84,1,0,L,"Guardsman, The",1931,1931
552,Ali MacGraw,F,1939,~,83,1,0,L,Love Story,1970,1970
553,Shirley MacLaine,F,1934,~,88,5,1,L,Terms of Endearment,1958,1983
554,Aline MacMahon,F,1899,1991,92,1,0,S,Dragon Seed,1944,1944
555,William H. Macy,M,1950,~,72,1,0,S,Fargo,1996,1996
556,Amy Madigan,F,1950,~,72,1,0,S,Twice in a Lifetime,1985,1985
557,Virginia Madsen,F,1961,~,61,1,0,S,Sideways,2004,2004
558,Anna Magnani,F,1908,1973,65,2,1,L,"Rose Tattoo, The",1955,1957
559,Marjorie Main,F,1890,1975,85,1,0,S,"Egg and I, The",1947,1947
560,Mako,M,1933,2006,72,1,0,S,"Sand Pebbles, The",1966,1966
561,Karl Malden,M,1912,2009,97,2,1,S,"Streetcar Named Desire, A",1951,1954
562,Rami Malek,M,1981,~,41,1,1,L,Bohemian Rhapsody,2018,2018
563,John Malkovich,M,1953,~,68,2,0,S,Places in the Heart,1984,1993
564,Dorothy Malone,F,1924,2018,93,1,1,S,Written on the Wind,1956,1956
565,Joe Mantell,M,1915,2010,94,1,0,S,Marty,1955,1955
566,Lesley Manville,F,1956,~,66,1,0,S,Phantom Thread,2017,2017
567,Rooney Mara,F,1985,~,37,2,0,1L:1S,"Girl with the Dragon Tattoo, The",2011,2015
568,Fredric March,M,1897,1975,77,5,2,L,Dr. Jekyll and Mr. Hyde (1931) [w 24],1930,1951
569,Colette Marchand,F,1925,2015,90,1,0,S,Moulin Rouge,1952,1952
570,John Marley,M,1907,1984,76,1,0,S,Love Story,1970,1970
571,Lee Marvin,M,1924,1987,63,1,1,L,Cat Ballou,1965,1965
572,James Mason,M,1909,1984,75,3,0,1L:2S,"Star Is Born, A",1954,1982
573,Marsha Mason,F,1942,~,80,4,0,L,Cinderella Liberty,1973,1981
574,Daniel Massey,M,1933,1998,64,1,0,S,Star!,1968,1968
575,Raymond Massey,M,1896,1983,86,1,0,L,Abe Lincoln in Illinois,1940,1940
576,Mary E. Mastrantonio,F,1958,~,63,1,0,S,"Color of Money, The",1986,1986
577,Marcello Mastroianni,M,1924,1996,72,3,0,L,Divorce Italian Style,1962,1987
578,Marlee Matlin,F,1965,~,57,1,1,L,Children of a Lesser God,1986,1986
579,Walter Matthau,M,1920,2000,79,3,1,2L0:1S1,"Fortune Cookie, The",1966,1975
580,Rachel McAdams,F,1978,~,43,1,0,S,Spotlight,2015,2015
581,Mercedes McCambridge,F,1916,2004,87,2,1,S,All the King's Men,1949,1956
582,Kevin McCarthy,M,1914,2010,96,1,0,S,Death of a Salesman,1951,1951
583,Melissa McCarthy,F,1970,~,52,2,0,1L:1S,Can You Ever Forgive Me?,2011,2018
584,Matthew McConaughey,M,1969,~,52,1,1,L,Dallas Buyers Club,2013,2013
585,Patty McCormack,F,1945,~,77,1,0,S,"Bad Seed, The",1956,1956
586,Hattie McDaniel,F,1895,1952,57,1,1,S,Gone with the Wind,1939,1939
587,Mary McDonnell,F,1952,~,70,2,0,1L:1S,Passion Fish,1990,1992
588,Frances McDormand,F,1957,~,65,6,3,3L3:3S0,Fargo (1996) [w 25],1988,2020
589,Elizabeth McGovern,F,1961,~,61,1,0,S,Ragtime,1981,1981
590,Dorothy McGuire,F,1916,2001,85,1,0,L,Gentleman's Agreement,1947,1947
591,Ian McKellen,M,1939,~,83,2,0,1L:1S,Gods and Monsters,1998,2001
592,Victor McLaglen,M,1886,1959,72,2,1,1L1:1S0,"Informer, The",1935,1952
593,Maggie McNamara,F,1928,1978,49,1,0,L,"Moon Is Blue, The",1953,1953
594,Steve McQueen,M,1930,1980,50,1,0,L,"Sand Pebbles, The",1966,1966
595,Janet McTeer,F,1961,~,61,2,0,1L:1S,Tumbleweeds,1999,2011
596,Kay Medford,F,1919,1980,60,1,0,S,Funny Girl,1968,1968
597,Adolphe Menjou,M,1890,1963,73,1,0,L,"Front Page, The",1931,1931
598,Vivien Merchant,F,1929,1982,53,1,0,S,Alfie,1966,1966
599,Melina Mercouri,F,1920,1994,73,1,0,L,Never on Sunday,1960,1960
600,Burgess Meredith,M,1907,1997,89,2,0,S,"Day of the Locust, The",1975,1976
601,Una Merkel,F,1903,1986,82,1,0,S,Summer and Smoke,1961,1961
602,Laurie Metcalf,F,1955,~,67,1,0,S,Lady Bird,2017,2017
603,Bette Midler,F,1945,~,76,2,0,L,"Rose, The",1979,1991
604,Sarah Miles,F,1941,~,80,1,0,L,Ryan's Daughter,1970,1970
605,Sylvia Miles,F,1924,2019,94,2,0,S,Midnight Cowboy,1969,1975
606,Penelope Milford,F,1948,~,74,1,0,S,Coming Home,1978,1978
607,Ray Milland,M,1907,1986,79,1,1,L,"Lost Weekend, The",1945,1945
608,Jason Miller,M,1939,2001,62,1,0,S,"Exorcist, The",1973,1973
609,John Mills,M,1908,2005,97,1,1,S,Ryan's Daughter,1970,1970
610,Sal Mineo,M,1939,1976,37,2,0,S,Rebel Without a Cause,1955,1960
611,Liza Minnelli,F,1946,~,76,2,1,L,Cabaret,1969,1972
612,Helen Mirren,F,1945,~,77,4,1,2L1:2S0,"Queen, The (2006)",1994,2009
613,Thomas Mitchell,M,1892,1962,70,2,1,S,Stagecoach,1937,1939
614,Robert Mitchum,M,1917,1997,79,1,0,S,"Story of G.I. Joe, The",1945,1945
615,Mo'Nique,F,1967,~,54,1,1,S,Precious,2009,2009
616,Fernanda Montenegro,F,1929,~,93,1,0,L,Central Station,1998,1998
617,Robert Montgomery,M,1904,1981,77,2,0,L,Night Must Fall,1937,1941
618,Ron Moody,M,1924,2015,91,1,0,L,Oliver!,1968,1968
619,Dudley Moore,M,1935,2002,66,1,0,L,Arthur,1981,1981
620,Grace Moore,F,1898,1947,48,1,0,L,One Night of Love,1934,1934
621,Juanita Moore,F,1914,2014,99,1,0,S,Imitation of Life,1959,1959
622,Julianne Moore,F,1960,~,61,5,1,3L1:2S0,Still Alice [n 8],1997,2014
623,Mary Tyler Moore,F,1936,2017,80,1,0,L,Ordinary People,1980,1980
624,Terry Moore,F,1929,~,93,1,0,S,"Come Back, Little Sheba",1952,1952
625,Agnes Moorehead,F,1900,1974,73,4,0,S,"Magnificent Ambersons, The",1942,1964
626,Rita Moreno,F,1931,~,90,1,1,S,West Side Story,1961,1961
627,Frank Morgan,M,1890,1949,59,2,0,1L:1S,"Affairs of Cellini, The",1934,1942
628,Cathy Moriarty,F,1960,~,61,1,0,S,Raging Bull,1980,1980
629,Pat Morita,M,1932,2005,73,1,0,S,"Karate Kid, The",1984,1984
630,Robert Morley,M,1908,1992,84,1,0,S,Marie Antoinette,1938,1938
631,Chester Morris,M,1901,1970,69,1,0,L,Alibi,1929,1929
632,Viggo Mortensen,M,1958,~,64,3,0,L,Eastern Promises,2007,2018
633,Samantha Morton,F,1977,~,45,2,0,1L:1S,In America,1999,2003
634,Armin Mueller-Stahl,M,1930,~,91,1,0,S,Shine,1996,1996
635,Carey Mulligan,F,1985,~,37,2,0,L,"Education, An",2009,2020
636,Paul Muni,M,1895,1967,71,6 [a 2],1,L,"Story of Louis Pasteur, The (1936)",1929,1959
637,Eddie Murphy,M,1961,~,61,1,0,S,Dreamgirls,2006,2006
638,Bill Murray,M,1950,~,72,1,0,L,Lost in Translation,2003,2003
639,Don Murray,M,1929,~,93,1,0,S,Bus Stop,1956,1956
640,J. Carrol Naish,M,1896,1973,77,2,0,S,Sahara,1943,1945
641,Mildred Natwick,F,1905,1994,89,1,0,S,Barefoot in the Park,1967,1967
642,Patricia Neal,F,1926,2010,84,2,1,L,Hud,1963,1968
643,Liam Neeson,M,1952,~,70,1,0,L,Schindler's List,1993,1993
644,Ruth Negga,F,1982,~,40,1,0,L,Loving,2016,2016
645,Kate Nelligan,F,1950,~,72,1,0,S,"Prince of Tides, The",1991,1991
646,Paul Newman,M,1925,2008,83,9,1,8L1:1S0,"Color of Money, The (1986)",1958,2002
647,Haing S. Ngor,M,1940,1996,55,1,1,S,"Killing Fields, The",1984,1984
648,Jack Nicholson,M,1937,~,85,12,3,8L2:4S1,One Flew Over the Cuckoo's Nest (1975) [w 26],1969,2002
649,David Niven,M,1910,1983,73,1,1,L,Separate Tables,1958,1958
650,Nick Nolte,M,1941,~,81,3,0,2L:1S,"Prince of Tides, The",1991,2011
651,Edward Norton,M,1969,~,53,3,0,1L:2S,American History X (1998),1996,2014
652,Lupita Nyong'o,F,1983,~,39,1,1,S,12 Years a Slave,2013,2013
653,Edmond O'Brien,M,1915,1985,69,2,1,S,"Barefoot Contessa, The",1954,1964
654,Arthur O'Connell,M,1908,1981,73,2,0,S,Picnic,1955,1959
655,Dan O'Herlihy,M,1919,2005,85,1,0,L,Robinson Crusoe,1954,1954
656,Michael O'Keefe,M,1955,~,67,1,0,S,"Great Santini, The",1980,1980
657,Ryan O'Neal,M,1941,~,81,1,0,L,Love Story,1970,1970
658,Tatum O'Neal,F,1963,~,58,1,1,S,Paper Moon,1973,1973
659,Barbara O'Neil,F,1910,1980,70,1,0,S,"All This, and Heaven Too",1940,1940
660,Peter O'Toole,M,1932,2013,81,8,0,L,Lawrence of Arabia,1962,2006
661,Jack Oakie,M,1903,1978,74,1,0,S,"Great Dictator, The",1940,1940
662,Merle Oberon,F,1911,1979,68,1,0,L,"Dark Angel, The",1935,1935
663,Leslie Odom Jr.,M,1981,~,41,1,0,S,One Night in Miami...,2020,2020
664,Sophie Okonedo,F,1968,~,54,1,0,S,Hotel Rwanda,2004,2004
665,Gary Oldman,M,1958,~,64,3,1,L,Darkest Hour,2011,2020
666,Lena Olin,F,1955,~,67,1,0,S,"Enemies, A Love Story",1989,1989
667,Edna May Oliver,F,1883,1942,59,1,0,S,Drums Along the Mohawk,1939,1939
668,Laurence Olivier,M,1907,1989,82,10,1,9L1:1S0,Hamlet (1948),1939,1978
669,Edward James Olmos,M,1947,~,75,1,0,L,Stand and Deliver,1988,1988
670,Nancy Olson,F,1928,~,94,1,0,S,Sunset Boulevard,1950,1950
671,Haley Joel Osment,M,1988,~,34,1,0,S,"Sixth Sense, The",1999,1999
672,Maria Ouspenskaya,F,1876,1949,73,2,0,S,Dodsworth,1936,1939
673,Clive Owen,M,1964,~,58,1,0,S,Closer,2004,2004
674,Al Pacino,M,1940,~,82,9,1,5L1:4S0,Scent of a Woman (1992) [n 9],1972,2019
675,Elliot Page,M[N 1],1987,~,35,1,0,L,Juno,2007,2007
676,Geraldine Page,F,1924,1987,62,8,1,4L1:4S0,"Trip to Bountiful, The",1953,1985
677,Jack Palance,M,1919,2006,87,3,1,S,City Slickers,1952,1991
678,Chazz Palminteri,M,1952,~,70,1,0,S,Bullets over Broadway,1994,1994
679,Gwyneth Paltrow,F,1972,~,50,1,1,L,Shakespeare in Love,1998,1998
680,Anna Paquin,F,1982,~,40,1,1,S,"Piano, The",1993,1993
681,Eleanor Parker,F,1922,2013,91,3,0,L,Caged,1950,1955
682,Larry Parks,M,1914,1975,60,1,0,L,"Jolson Story, The",1946,1946
683,Estelle Parsons,F,1927,~,94,2,1,S,Bonnie and Clyde,1967,1968
684,Dev Patel,M,1990,~,32,1,0,S,Lion,2016,2016
685,Marisa Pavan,F,1932,~,90,1,0,S,"Rose Tattoo, The",1955,1955
686,Katina Paxinou,F,1900,1973,72,1,1,S,For Whom the Bell Tolls,1943,1943
687,David Paymer,M,1954,~,68,1,0,S,Mr. Saturday Night,1992,1992
688,Gregory Peck,M,1916,2003,87,5,1,L,To Kill a Mockingbird,1945,1962
689,Sean Penn,M,1960,~,62,5,2,L,Mystic River (2003) [w 27],1995,2008
690,Rosie Perez,F,1964,~,58,1,0,S,Fearless,1993,1993
691,Anthony Perkins,M,1932,1992,60,1,0,S,Friendly Persuasion,1956,1956
692,Valerie Perrine,F,1943,~,79,1,0,L,Lenny,1974,1974
693,Joe Pesci,M,1943,~,79,3,1,S,Goodfellas (1990),1980,2019
694,Susan Peters,F,1921,1952,31,1,0,S,Random Harvest,1942,1942
695,Michelle Pfeiffer,F,1958,~,64,3,0,2L:1S,"Fabulous Baker Boys, The (1989)",1988,1992
696,Joaquin Phoenix,M,1974,~,47,4,1,3L1:1S0,Joker,2000,2019
697,River Phoenix,M,1970,1993,23,1,0,S,Running on Empty,1988,1988
698,Mary Pickford,F,1892,1979,87,1,1,L,Coquette,1929,1929
699,Walter Pidgeon,M,1897,1984,87,2,0,L,Mrs. Miniver,1942,1943
700,Rosamund Pike,F,1979,~,43,1,0,L,Gone Girl,2014,2014
701,Brad Pitt,M,1963,~,58,4,1,2L0:2S1,Once Upon a Time in Hollywood,1995,2019
702,Jesse Plemons,M,1988,~,34,1,0,S,The Power of the Dog,2021,2021
703,Joan Plowright,F,1929,~,92,1,0,S,Enchanted April,1992,1992
704,Christopher Plummer,M,1929,2021,91,3,1,S,Beginners (2011),2009,2017
705,Sidney Poitier,M,1927,2022,94,2,1,L,Lilies of the Field,1958,1963
706,Michael J. Pollard,M,1939,2019,80,1,0,S,Bonnie and Clyde,1967,1967
707,Natalie Portman,F,1981,~,41,3,1,2L1:1S0,Black Swan (2010),2004,2016
708,Pete Postlethwaite,M,1946,2011,64,1,0,S,In the Name of the Father,1993,1993
709,William Powell,M,1892,1984,91,3,0,L,"Thin Man, The",1934,1947
710,Robert Preston,M,1918,1987,68,1,0,S,Victor/Victoria,1982,1982
711,Jonathan Pryce,M,1947,~,75,1,0,L,"Two Popes, The",2019,2019
712,Florence Pugh,F,1996,~,26,1,0,S,Little Women,2019,2019
713,Randy Quaid,M,1950,~,72,1,0,S,"Last Detail, The",1973,1973
714,Anthony Quayle,M,1913,1989,76,1,0,S,Anne of the Thousand Days,1969,1969
